ID,ACORN_Category
MAC003283,Affluent Achievers
MAC003278,Affluent Achievers
MAC003275,Affluent Achievers
MAC003260,Affluent Achievers
MAC002797,Affluent Achievers
MAC003235,Affluent Achievers
MAC003231,Affluent Achievers
MAC003061,Affluent Achievers
MAC003220,Affluent Achievers
MAC003157,Affluent Achievers
MAC003204,Affluent Achievers
MAC003184,Affluent Achievers
MAC003201,Affluent Achievers
MAC003137,Affluent Achievers
MAC003065,Affluent Achievers
MAC003319,Affluent Achievers
MAC003001,Affluent Achievers
MAC003335,Affluent Achievers
MAC003339,Affluent Achievers
MAC001064,Affluent Achievers
MAC003558,Affluent Achievers
MAC001219,Affluent Achievers
MAC003556,Affluent Achievers
MAC003548,Affluent Achievers
MAC003511,Affluent Achievers
MAC003499,Affluent Achievers
MAC003487,Affluent Achievers
MAC003486,Affluent Achievers
MAC001471,Affluent Achievers
MAC003442,Affluent Achievers
MAC001767,Affluent Achievers
MAC003392,Affluent Achievers
MAC002201,Affluent Achievers
MAC003368,Affluent Achievers
MAC003357,Affluent Achievers
MAC003349,Affluent Achievers
MAC002433,Affluent Achievers
MAC002455,Affluent Achievers
MAC003336,Affluent Achievers
MAC000431,Affluent Achievers
MAC005565,Affluent Achievers
MAC000096,Affluent Achievers
MAC000140,Affluent Achievers
MAC004539,Rising Prosperity
MAC000336,Rising Prosperity
MAC000342,Rising Prosperity
MAC001698,Rising Prosperity
MAC000727,Rising Prosperity
MAC002267,Rising Prosperity
MAC003013,Rising Prosperity
MAC002482,Rising Prosperity
MAC001682,Rising Prosperity
MAC000715,Rising Prosperity
MAC004527,Rising Prosperity
MAC002627,Rising Prosperity
MAC000456,Rising Prosperity
MAC001717,Rising Prosperity
MAC004783,Rising Prosperity
MAC004814,Rising Prosperity
MAC002233,Rising Prosperity
MAC000084,Rising Prosperity
MAC000317,Rising Prosperity
MAC001691,Rising Prosperity
MAC004714,Rising Prosperity
MAC001656,Rising Prosperity
MAC004637,Rising Prosperity
MAC000776,Rising Prosperity
MAC004628,Rising Prosperity
MAC003063,Rising Prosperity
MAC005370,Rising Prosperity
MAC003502,Rising Prosperity
MAC001425,Rising Prosperity
MAC000737,Rising Prosperity
MAC001826,Rising Prosperity
MAC000193,Rising Prosperity
MAC000194,Rising Prosperity
MAC001098,Rising Prosperity
MAC000050,Rising Prosperity
MAC003022,Rising Prosperity
MAC000073,Rising Prosperity
MAC003018,Rising Prosperity
MAC000741,Rising Prosperity
MAC001825,Rising Prosperity
MAC002497,Rising Prosperity
MAC002218,Rising Prosperity
MAC000692,Rising Prosperity
MAC002170,Rising Prosperity
MAC001612,Rising Prosperity
MAC004389,Rising Prosperity
MAC001766,Rising Prosperity
MAC004990,Rising Prosperity
MAC004386,Rising Prosperity
MAC004385,Rising Prosperity
MAC001768,Rising Prosperity
MAC000632,Rising Prosperity
MAC001370,Rising Prosperity
MAC000289,Rising Prosperity
MAC000063,Rising Prosperity
MAC003709,Rising Prosperity
MAC002157,Rising Prosperity
MAC002155,Rising Prosperity
MAC004364,Rising Prosperity
MAC000619,Rising Prosperity
MAC001614,Rising Prosperity
MAC002335,Rising Prosperity
MAC000647,Rising Prosperity
MAC004409,Rising Prosperity
